trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3,18,10.5,True,10.5,1345.2560901641846
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-2,-12,-7.0,False,-2,2204.653024673462
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3,18,6.75,True,6.8,1088.5109901428223
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-5,-30,-17.5,False,-5,2057.1320056915283
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-5,-30,-23.75,False,-30,2290.52996635437
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3,18,4.875,False,3,1701.591968536377
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-1,-6,-3.5,True,-3.5,2035.7630252838135
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-4,-24,-14.0,False,-4,2142.212152481079
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-5,-30,-26.875,False,-5,2065.3820037841797
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-4,-24,-19.0,False,-24,2074.932098388672
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-1,-6,-2.25,True,-2.2,1859.9510192871094
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,2,12,7.0,False,2,1703.02414894104
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,2,12,9.5,True,9.5,1695.2080726623535
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-3,-18,-10.5,False,-3,1800.537109375
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,2,12,5.75,True,5.8,2061.0039234161377
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-3,-18,-14.25,False,-18,1731.4209938049316
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3,18,11.4375,False,3,2868.182897567749
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-5,-30,-28.4375,False,-30,1347.1639156341553
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,3.5,True,3.5,1971.1620807647705
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-3,-18,-16.125,False,-3,4237.3011112213135
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,4,24,14.0,True,14.0,2499.9301433563232
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-4,-24,-21.5,False,-4,2403.715133666992
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-2,-12,-9.5,False,-2,1700.7768154144287
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-3,-18,-17.0625,False,-18,1802.0589351654053
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,4,24,9.0,False,4,2057.760000228882
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-3,-18,-17.53125,False,-3,1662.8899574279785
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-2,-12,-10.75,False,-2,1715.4479026794434
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-3,-18,-17.765625,False,-18,1679.7142028808594
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-4,-24,-22.75,False,-4,8146.465063095093
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,2,12,3.875,False,12,2818.6631202697754
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,2.25,False,6,1958.2130908966064
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-5,-30,-29.21875,False,-5,1890.866994857788
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3,18,14.71875,True,14.7,1631.2329769134521
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-2,-12,-11.375,False,-2,2553.0290603637695
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-5,-30,-29.609375,False,-30,2111.7639541625977
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3,18,8.859375,False,3,3254.261016845703
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-2,-12,-11.6875,False,-2,4419.100999832153
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-4,-24,-23.375,False,-4,1879.4260025024414
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-2,-12,-11.84375,False,-2,4962.9669189453125
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-1,-6,-1.625,False,-6,5621.474981307983
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,2,12,7.9375,False,2,4025.7928371429443
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,2,12,9.96875,True,10.0,1483.8759899139404
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-4,-24,-23.6875,True,-23.7,1483.8759899139404
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,5,30,17.5,False,30,2764.5039558410645
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,5,30,23.75,False,5,1887.3019218444824
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,4.125,True,4.1,1863.8579845428467
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,5,30,26.875,True,26.9,1609.9541187286377
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,5,30,15.9375,True,15.9,2723.543167114258
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,5,30,10.46875,True,10.5,1079.1809558868408
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,2.5625,False,1,1355.924129486084
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,4,24,16.5,True,16.5,1159.9669456481934
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-1,-6,-3.8125,False,-1,1370.9309101104736
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,5,30,7.734375,False,5,2360.074043273926
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-1,-6,-4.90625,False,-6,3599.7519493103027
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,-1,-6,-5.453125,False,-6,2818.1538581848145
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,4,24,10.25,True,10.2,1185.142993927002
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,4,24,7.125,False,4,1696.432113647461
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,4,24,15.5625,False,4,1262.1760368347168
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,4.28125,True,4.3,1517.1270370483398
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,2.640625,False,6,1137.7530097961426
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-11.7890625,0,True,0,2270.5399990081787
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-5.89453125,0,False,-5.9,2715.3828144073486
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-38.314453125,0,False,11.8,2566.833019256592
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-54.5244140625,0,True,0,1612.7660274505615
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-3.4609375,0,False,3.5,1856.112003326416
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-12.11328125,0,True,0,1148.6029624938965
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-11.34375,0,False,-11.3,1358.1480979919434
