trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
0,2,12,7.0,True,7.0,4581.955909729004
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,1,6,3.5,False,6,3729.3460369110107
2,5,30,17.5,True,17.5,3031.0938358306885
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-2,-12,-7.0,False,-12,8538.410902023315
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-2,-12,-4.5,False,-12,10740.65899848938
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-1,-6,-3.5,False,-1,5719.998121261597
6,4,24,14.0,True,14.0,2195.7008838653564
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,2,12,4.5,False,12,2419.482946395874
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,4,24,9.0,False,24,5726.96590423584
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,2,12,5.75,False,2,5982.7868938446045
10,4,24,11.5,True,11.5,2683.6090087890625
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-3,-18,-10.5,False,-18,8509.821891784668
12,-1,-6,-2.25,True,-2.2,3599.6079444885254
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,4,24,10.25,False,4,4480.952024459839
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-1,-6,-2.875,False,-6,3095.2961444854736
15,3,18,10.5,True,10.5,3363.1818294525146
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,4,24,10.875,False,4,3542.1459674835205
17,1,6,4.75,True,4.8,2652.9829502105713
18,-1,-6,-2.5625,True,-2.6,3575.96492767334
19,5,30,11.25,True,11.2,2348.1578826904297
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-5,-30,-17.5,False,-30,5917.787790298462
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-5,-30,-11.25,False,-30,2443.652868270874
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,5,30,8.125,False,5,1983.5619926452637
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,5,30,9.6875,False,5,2802.5639057159424
24,-3,-18,-6.75,True,-6.8,4259.660959243774
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-1,-6,-2.71875,False,-6,6451.095104217529
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-1,-6,-2.640625,False,-1,6306.855916976929
27,4,24,11.1875,True,11.2,1719.074010848999
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,1,6,4.125,False,6,3916.867971420288
29,-2,-12,-3.25,True,-3.2,3915.785074234009
30,-5,-30,-8.125,True,-8.1,2152.5769233703613
31,-2,-12,-3.875,True,-3.9,1575.721025466919
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,2,12,6.375,False,12,2037.5750064849854
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,3,18,6.75,False,3,3218.9559936523438
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,1,6,4.4375,False,6,2503.0109882354736
35,5,30,10.46875,True,10.5,1995.5909252166748
36,1,6,4.59375,True,4.6,1080.6851387023926
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,3,18,8.625,False,18,2417.6130294799805
38,-5,-30,-9.6875,True,-9.7,1356.9889068603516
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,-4,-24,-14.0,False,-24,2524.9900817871094
