trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms),,
8,-5,-30,-17.5,TRUE,-17.5,2091.485023,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-5,-30,-23.75,FALSE,-30,2233.792067,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-5,-30,-20.625,FALSE,-30,1085.621119,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-5,-30,-19.0625,FALSE,-5,1360.033989,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-5,-30,-18.28125,FALSE,-5,1381.83403,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-5,-30,-17.890625,FALSE,-30,1883.437872,,
6,-4,-24,-14,TRUE,-14,4172.918081,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-4,-24,-19,FALSE,-4,5420.239925,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-4,-24,-16.5,FALSE,-24,4333.278894,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-4,-24,-15.25,FALSE,-24,1406.363964,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-4,-24,-14.625,FALSE,-4,1873.140097,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-4,-24,-14.3125,FALSE,-4,4070.381165,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-3,-18,-10.5,FALSE,-3,2438.707829,,
13,-3,-18,-6.75,TRUE,-6.8,1226.033926,,
17,-3,-18,-8.625,TRUE,-8.6,897.7959156,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-3,-18,-9.5625,FALSE,-3,4418.499947,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-3,-18,-9.09375,FALSE,-3,4790.612936,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-3,-18,-8.859375,FALSE,-18,5288.654089,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-2,-12,-7,FALSE,-12,3258.113861,,
9,-2,-12,-4.5,TRUE,-4.5,2502.947092,,
14,-2,-12,-5.75,TRUE,-5.8,2692.342997,,
50,-2,-12,-6.375,TRUE,-6.4,3516.217947,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-2,-12,-6.6875,FALSE,-12,1952.429056,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-2,-12,-6.53125,FALSE,-12,2173.438072,,
16,-1,-6,-3.5,TRUE,-3.5,1258.657932,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-1,-6,-4.75,FALSE,-6,1965.907097,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-1,-6,-4.125,FALSE,-1,2182.607174,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-1,-6,-3.8125,FALSE,-6,2959.872007,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,-1,-6,-3.65625,FALSE,-6,3138.062954,,
56,-1,-6,-3.578125,TRUE,-3.6,4099.786043,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,1,6,3.5,FALSE,1,2601.758003,,
11,1,6,4.75,TRUE,4.8,1982.009172,,
15,1,6,4.125,TRUE,4.1,2012.199163,,
25,1,6,3.8125,TRUE,3.8,1756.935835,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,1,6,3.65625,FALSE,6,366.3668633,,
43,1,6,3.734375,TRUE,3.7,2314.787149,,
0,2,12,7,TRUE,7,5274.030209,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,2,12,4.5,FALSE,2,1884.517908,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,2,12,5.75,FALSE,2,2243.041039,,
38,2,12,6.375,TRUE,6.4,2104.69079,,
48,2,12,6.0625,TRUE,6.1,3594.811916,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,2,12,5.90625,FALSE,12,866.147995,,
5,3,18,10.5,TRUE,10.5,3108.520031,,
