trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
1,5.31,-22.89,0,True,0,3151.4639854431152
2,22.67,-22.89,0,False,-22.89,1692.6679611206055
3,12.75,-22.89,0,True,0,1618.9911365509033
4,2.83,-32.65,0,True,0,1488.8551235198975
5,0.35,-9.88,0,True,0,2005.3160190582275
6,5.31,-29.4,0,True,0,2036.2548828125
7,2.83,-13.13,0,True,0,1374.2351531982422
8,7.79,-0.12,0,False,7.79,2175.3809452056885
9,2.83,-9.88,0,True,0,1523.6001014709473
10,2.83,-22.89,0,True,0,2804.311990737915
11,25.15,-32.65,0,True,0,2208.0259323120117
12,20.19,-3.37,0,False,-3.37,1548.926830291748
13,22.67,-13.13,0,False,-13.13,1758.810043334961
14,25.15,-13.13,0,False,25.15,1184.1750144958496
15,12.75,-13.13,0,False,12.75,2056.6658973693848
16,20.19,-29.4,0,True,0,2495.327949523926
17,17.71,-9.88,0,False,17.71,2000.9469985961914
18,20.19,-22.89,0,False,20.19,1393.9731121063232
19,15.23,-22.89,0,True,0,1500.5409717559814
20,0.35,-3.37,0,True,0,1938.033103942871
21,2.83,-19.64,0,True,0,3223.644018173218
22,25.15,-16.38,0,False,-16.38,1304.9561977386475
23,22.67,-6.62,0,False,22.67,10554.446935653687
24,15.23,-16.38,0,False,-16.38,8328.380823135376
25,17.71,-6.62,0,False,-6.62,6225.007057189941
26,7.79,-16.38,0,True,0,1499.9668598175049
27,15.23,-9.88,0,False,-9.88,2868.366003036499
28,15.23,-6.62,0,False,-6.62,4867.231845855713
29,10.27,-19.64,0,True,0,1349.782943725586
30,5.31,-3.37,0,False,5.31,1726.012945175171
31,25.15,-9.88,0,False,-9.88,1322.418212890625
32,25.15,-6.62,0,False,-6.62,1267.8699493408203
33,10.27,-6.62,0,False,-6.62,2423.2890605926514
34,17.71,-32.65,0,True,0,1493.3290481567383
35,25.15,-19.64,0,False,25.15,3210.953950881958
36,17.71,-26.14,0,True,0,1800.1370429992676
37,2.83,-6.62,0,True,0,1382.798194885254
38,0.35,-6.62,0,True,0,1407.837152481079
39,15.23,-32.65,0,True,0,1185.7450008392334
40,5.31,-6.62,0,True,0,1116.1000728607178
41,0.35,-13.13,0,True,0,1081.3560485839844
42,7.79,-3.37,0,False,7.79,1646.6879844665527
43,22.67,-9.88,0,False,-9.88,1286.959171295166
44,0.35,-32.65,0,True,0,3407.226085662842
