trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
1,0,5,2.5,True,2.5,957.8781127929688
2,0,5,1.25,True,1.25,600.2829074859619
3,0,5,0.625,False,5,917.7298545837402
4,0,5,0.9375,True,0.94,867.4271106719971
5,0,5,0.78125,False,0,1898.550033569336
6,0,5,0.859375,False,5,1355.7329177856445
7,0,-5,-2.5,False,-5,2172.9509830474854
8,0,-5,-1.25,True,-1.25,2392.216920852661
9,0,-5,-1.875,True,-1.88,411.6330146789551
10,0,-5,-2.1875,True,-2.19,4914.041996002197
11,0,-5,-2.34375,True,-2.34,2488.224983215332
12,0,-5,-2.421875,True,-2.42,2666.7518615722656
13,0.8203125,-0.8203125,0,False,-0.82,3035.1028442382812
14,0.8203125,-1.640625,0,True,0,1644.779920578003
15,0.8203125,-1.23046875,0,True,0,369.68088150024414
16,0.8203125,-1.025390625,0,True,0,98.8001823425293
17,0.8203125,-0.9228515625,0,False,0.82,1029.7260284423828
18,0.8203125,-0.97412109375,0,True,0,1798.6860275268555
